rec_id,rec2_id,culture,sex,age,date_of_birth,title,given_name,surname,state,suburb,postcode,street_number,address_1,address_2,phone_number,soc_sec_id,blocking_number,family_role
rec-56134-org,rec-73068-org,eng,f,28,19880930,ms,madalyn,gore,act,harrison,2144,4,kerkeri close,,02 14206683,7052774,8,NoRole
rec-61608-org,rec-51163-org,unk,f,32,19840622,,cambell,strapp,nsw,werrington,3156,112,fred williams crescent,bowan brae,2 97478081,7177975,0,NoRole
rec-41687-org,rec-27005-org,afr,m,33,19830703,ms,matthew,coker,nsw,oatlands,6163,147,maddison close,,2 54134912,3661270,5,NoRole
rec-72463-dup-0,rec-89925-org,usa,g,36,19800906,mr,nikolaus,stevens,sa,athelstone,7278,97,sheehan street,,03 44085236,3450070,1,NoRole
rec-39030-org,rec-7304-org,eng,f,30,19860712,,flynn,hobson,vic,warncoort,5473,4,wanganeen avenue,,08 57526369,6976498,2,NoRole
rec-14359-dup-0,rec-7157-org,ita,,30,,,josua,occhena,,annandale,6020,11,lyrebirdxplace,mornimgton,07 69324330,5735436,2,NoRole
rec-38135-org,rec-31925-org,usa,,10,20061226,ms,bailey,evans,,matraville,2018,165,broinowski place,redlands,07 57683807,6114415,5,NoRole
rec-1753-org,rec-22639-org,usa,,23,19931111,dr,emiily,summers,nsw,grafton,4702,40,jabanungga avenue,,02 24989634,6574568,7,NoRole
rec-1006-org,rec-14137-org,chi,m,29,,ms,luke,zhen,vic,tankerton,5600,27,maitland street,lynden lea,08 03739881,5871440,5,NoRole
rec-79280-org,rec-59029-org,ser,f,26,19900121,,james,vukmirica,vic,myrniong,2904,53,beetaloo street,lorrha,08 52592373,1732559,4,NoRole
rec-58802-org,rec-20644-org,usa,f,11,20050205,mr,holly,burton,vic,flowerdale,2615,219,eagar place,apple glen,618 43083713,1756287,2,NoRole
rec-15220-dup-0,rec-15431-org,ind,,33,19830814,,ryan,sancip,vif,byaduk,6105,10,faithfullrcircuit,,618 37002358,6317569,9,NoRole
rec-70745-org,rec-15183-org,tha,f,,19720708,pfc,tanyshah,phatipatanawong,,brierfield,4075,24,carr crescent,the park,02 88689197,2327271,8,NoRole
rec-32298-org,rec-72119-org,usa,f,22,19941212,,taylor-saige,chan,nsw,frankston,5013,118,yambina crescent,boonoo boonoo,2 87589317,8881135,9,NoRole
rec-66797-org,rec-42706-org,,,36,19801123,mr,mya,paterson,wa,rocklea,4567,14,pike place,,8 94298583,2707081,8,NoRole
rec-60016-org,rec-35348-org,sri,f,25,19910330,,hamish,wickremasinghe,vic,tottenham,5159,282,bettington circuit,west-view,618 47681591,5771632,9,NoRole
rec-30348-org,rec-62442-org,eng,,28,19880623,,isabella,goode,vic,campbells bridge,2337,35,smart place,,618 19116282,8997165,9,NoRole
rec-65525-dup-0,rec-88762-org,ser,g,46,19700305,mr,anna,djerek,nsw,,5310,159,bellchambers frescent,raworth cottage medical practice,02 20430445,7116406,5,NoRole
rec-58388-org,rec-49505-org,eng,f,23,19930812,,joel,meyrick,vic,clarendon,2824,90,tardent street,,8 82697688,2763971,8,NoRole
rec-68054-org,rec-67613-org,chi,f,30,19860818,,maggie,yeo,,dapto,2617,22,rylah crescent,robertson barracks,,9345114,9,NoRole
rec-5610-org,rec-52475-org,ger,,29,19870211,,charlotte,kraemer,qld,main beach,5052,19,dashwood retreat,,03 21897197,4292839,0,NoRole
rec-65374-org,rec-53533-org,usa,m,36,19800530,,evangelia,patterson,nsw,bowna,3012,98,walker crescent,,02 34318766,3509887,5,NoRole
rec-46395-dup-0,rec-33510-org,ind,f,36,19805823,ms,aidan,huggahalli,qld,goranba,4877,292,sadlier xtreet,,07 54930370,3962999,8,NoRole
rec-81135-org,rec-16578-org,ara,m,,19290427,,cameron,fakeehah,nsw,beaumaris,3122,3,paul coe crescent,,02 95781638,6777529,7,NoRole
rec-72945-org,rec-46912-org,unk,f,7,20090212,ms,teal,abat,qld,ransome,3662,51,axon street,,613 82938089,4465695,2,NoRole
rec-1964-org,rec-36742-org,unk,f,30,19860222,,jake,abbetmeyer,vic,laanecoorie,2340,279,gaby place,willandra village,08 71179312,4104757,3,NoRole
rec-43577-org,rec-32913-org,unk,f,26,19900821,ms,julia,abadi,nsw,,,86,wattle street,eventide home,02 41790532,9118250,4,NoRole
rec-55447-dup-0,rec-66226-org,swe,d,29,19840240,pfc,zachariah,ake,tas,burleig h waters,3105,18,sullivan crescent,,07 69103375,4547567,2,NoRole
rec-7084-dup-0,rec-82938-org,usa,f,52,19917526,ms,luca,phelps,nsw,woomargama,6054,29,salsola srreet,herbert creek,04 78027196,9026329,7,NoRole
rec-85143-org,rec-13367-org,ger,f,26,,,daniel,leimann,,flagstaff hill,2319,85,macleay street,,03 42537114,4546167,8,NoRole
rec-52761-org,rec-40722-org,ind,f,28,19881010,,aiden,ramprakesh,nsw,moe,3089,2,hagelthorn street,willow lodge,2 54740502,6616122,7,NoRole
rec-72533-dup-0,rec-45822-org,unk,m,28,19880112,,alice,aarof,nss,rose bay,2229,152,macquarie street,meadowview,612 70299941,1419220,0,NoRole
rec-20097-org,rec-54013-org,usa,,21,19950929,,emiily,,vic,aspendale gardens,5173,2,harding street,aldersyde estate,618 52741344,8014567,8,NoRole
rec-18403-org,rec-2690-org,chi,m,31,19850720,ms,jaykob,yam,nsw,eltham,2226,11,weddin circuit,,612 21676124,5917021,7,NoRole
rec-67843-org,rec-2103-org,unk,m,,19761230,mr,jaimee,scogin,tas,fingal,2148,41,cameron street,,07 07030623,1467212,8,NoRole
rec-3422-org,rec-53194-org,ser,f,,19530715,,danielle,bjondic,,douglas park,6050,4,elkington street,fairlight,07 96311663,9600334,9,NoRole
rec-67954-dup-0,rec-63619-org,ind,s,,19920106,ms,demie,rammihan,,mayfield,2119,3,ern florence crescent,strathaird,08 47724389,1322216,7,NoRole
rec-59481-org,rec-74404-org,usa,f,38,19780519,pfc,tristan,sheppard,nsw,beecroft,3130,9,briggs street,,02 21450812,1313109,2,NoRole
rec-62447-org,rec-31448-org,chi,f,,,ms,seamus,awyoung,qld,macknade,3363,106,pankhurst crescent,simpson army barracks,04 18525953,8647451,5,NoRole
rec-78831-org,rec-62837-org,unk,f,29,19870325,,chelsea,strawbridge,nt,jabiru,4051,71,noarlunga crescent,,613 46007825,1477114,0,NoRole
rec-53897-org,rec-12296-org,eng,,,19621012,,amber,traviss,nsw,galong,2210,72,nemarang crescent,westminster place,02 25311287,2676224,4,NoRole
rec-49719-org,rec-64635-org,eng,f,26,19900718,ms,amy,seaver,nsw,huntleys point,2031,53,hannan crescent,,612 09187950,2546420,7,NoRole
rec-41526-org,rec-9008-org,ser,f,23,19930822,,zachary,strapovic,nsw,bulli,2154,1,ashburton circuit,vlla 18 pacific bay resort,2 44827270,8864585,1,NoRole
rec-13502-org,rec-19956-org,ind,f,35,,dr,kelsey,vuppula,,cremorne,4510,1,plowman place,,03 88806131,6321799,2,NoRole
rec-9410-org,rec-67956-org,unk,f,30,19861204,,,streckfuss,qld,moombra,3450,36,gurr street,,613 60959386,9547767,3,NoRole
rec-66423-org,rec-88617-org,eng,f,,19140129,,hayley,scrivener,vic,tyrendarra,3219,9,barada crescent,location 6656,08 34947890,7262164,9,NoRole
rec-13286-dup-0,rec-6676-org,unk,g,63,19800520,,tara,scjnum,nsw,cundletown,2319,,mayo sreet,,02 59315566,9480541,2,NoRole
rec-44909-org,rec-83859-org,ger,f,24,19920323,ms,holly,schindler,vic,trawool,3328,1024,william webb drive,top house,8 92492658,6195467,3,NoRole
rec-42917-org,rec-14829-org,usa,f,,19380615,,abbey,,sa,kurralta park,3152,77,schomburgk street,bernleigh,02 69804487,2168439,8,NoRole
rec-54974-org,rec-87803-org,usa,f,,19120609,,eva,castillo,nsw,bossley park,4885,7,ogilby crescent,wooloondool farm,02 93934968,2718100,8,NoRole
rec-8946-dup-0,rec-14436-org,eng,,,19386015,,beth,herbret,vic,ashwodo,3797,39,lambert street,croydon,8 07885690,3905010,7,NoRole
rec-54169-org,rec-70076-org,eng,,28,19881125,,alice,quickley,tas,allens rivulet,3277,121,gosse street,,617 18713218,8443026,6,NoRole
rec-51254-org,rec-13704-org,usa,f,22,19940507,ms,tom,vazquez,,hill end,3051,4,wallaroo road,,04 83195204,1510949,1,NoRole
rec-42339-org,rec-14658-org,eng,,34,19821207,,charlee,rutherfurd,nsw,ungarie,4078,199,condell street,,,1428624,3,NoRole
rec-24509-dup-0,rec-79647-org,chi,f,28,,pfc,hayle,chywe,,seaford medows,2232,4,howitt skreet,geekabee,07 20552694,4327909,5,NoRole
rec-76719-org,rec-15620-org,chi,f,38,19780102,pfc,kaitlyn,kann,qld,seaforth,2145,33,cantor crescent,,03 88628133,2221550,2,NoRole
rec-84463-dup-0,rec-43298-org,ind,f,,19941009,,thoms,padmwnabh,,wangatatta,2444,92,lockyer qstreet,,07 54564736,1032934,9,NoRole
rec-41305-org,rec-71381-org,ind,f,30,19860828,,alexander,sathiamoorthy,,summer hill,6162,70,darrell place,tricare nursing,07 83271829,4549622,6,NoRole
rec-41171-org,rec-24712-org,usa,f,21,19950406,dr,ryan,olsen,qld,dulong,4123,12,stow place,kangaroo grnd,613 98099336,4484759,8,NoRole
rec-34320-org,rec-85227-org,wel,f,,19860417,,helena,gittings,nsw,moira,2041,33,,,2 51509092,9098436,7,NoRole
rec-74069-org,rec-63370-org,unk,f,,19260306,ms,pia,abbitt,vic,cape clear,3500,44,theodore street,mount beauty,03 24959531,1803064,9,NoRole
rec-45927-org,rec-65358-org,ser,f,32,19840415,mr,harry,lakovic,vic,mepunga,3040,10,attunga street,,8 30706950,2148917,8,NoRole
rec-89845-dup-0,rec-38842-org,eng,f,32,19680915,ms,newport,grayson,vimc,lakes entrance,5091,1,wattle sgreet,noelurma,618 87826736,5438617,2,NoRole
rec-24559-org,rec-57811-org,iri,f,,19171118,,oliver,ohannagan,wa,mount pleasant,3064,19,jevons place,,618 32067295,5371262,6,NoRole
rec-43802-org,rec-6215-org,chi,m,31,19850124,,katelyn,so,wa,bambun,3182,21,chapman street,lakeside leisure vlge,618 90565139,8348728,4,NoRole
rec-73655-org,rec-76555-org,usa,f,,19790128,,jacqueline,whitehead,qld,southtown,7008,8,schoales place,,3 33482746,3233636,2,NoRole
rec-12324-org,rec-45818-org,chi,,33,19830214,,claudia,yuk,wa,regans ford,5251,96,wilkinson street,wandana,08 98200601,2180880,9,NoRole
rec-57753-dup-0,rec-15193-org,usa,,,19100515,,makayla,block,nsw,carlinford,4507,2,bardolph street,bryntirion,612 31640357,9599324,3,NoRole
rec-71230-org,rec-22352-org,,f,25,19911030,dr,jack,rundle,,mill park,4455,36,ingram street,,08 31180184,6344470,4,NoRole
rec-41482-org,rec-35081-org,dan,m,26,19900302,mr,takara,fenger,nsw,revesby heights,5051,238,totterdell street,,612 53522702,7780456,7,NoRole
rec-53892-org,rec-9665-org,ger,f,44,19720606,ms,charlotte,krabbe,nsw,mcgraths hill,2251,14,bonney street,sea breeze caravan park,612 18677981,9642221,8,NoRole
rec-34549-org,rec-59622-org,usa,f,31,19851114,,ryan,moon,nsw,northbridge,6109,2,kulgera street,,2 54885975,9608980,2,NoRole
rec-73178-dup-0,rec-77484-org,wel,f,,19400515,,,baulch,nsw,willian,6062,54,moroal street,,2 52300416,3262265,0,NoRole
rec-67699-org,rec-12827-org,unk,f,26,19901207,ms,sophie,aarcy,wa,maitland,2290,1,,locn 5940,8 49218154,4422289,4,NoRole
rec-51194-org,rec-77339-org,ind,,31,19851117,mr,kailey,belani,nsw,enmore,6110,10,leighton street,,02 98114598,8364315,7,NoRole
rec-73449-dup-0,rec-45505-org,chi,f,,19090205,,darce,,vic,lilydale,4068,8,booroopki park rmb 596,willara close,618 72691689,5848631,3,NoRole
rec-63362-org,rec-78609-org,ara,f,30,19860527,mr,meg,sumaytah,act,braddon,2830,8,love street,,2 55913526,9587741,4,NoRole
