rec_id,rec2_id,culture,sex,age,date_of_birth,title,given_name,surname,state,suburb,postcode,street_number,address_1,address_2,phone_number,soc_sec_id,blocking_number,family_role
rec-4610-org,rec-2051-org,ger,f,27,,,claire,daschke,qld,eton north,5084,110,lyndon street,,3 93371368,8303550,5,NoRole
rec-1477-dup-0,rec-684-org,usa,f,23,19880709,pfc,alexabdra,mercer,wa,forrest,2285,4,rose scott circuit,bega flats,2 21299634,7818304,4,NoRole
rec-7944-org,rec-1695-org,cze,f,31,19850911,,charlotte,smicer,nsw,catalina,6167,268,delamere street,,2 30528497,2371054,7,NoRole
rec-5614-org,rec-237-org,,f,,19071102,ms,aidan,louca,vic,longlea,4670,,elimatta street,,08 36443165,3381180,7,NoRole
rec-615-dup-0,rec-7918-org,ara,d,,19471222,,rohan,ablala,qls,robina town centre,2194,108,verbrugghen street,,3 92401727,1802068,4,NoRole
rec-7947-org,rec-7504-org,eng,f,28,19881101,,liam,thorn,vic,simpson,2360,24,lindwall place,villa 153,08 22005798,2553767,9,NoRole
rec-6115-org,rec-3148-org,,f,,19561125,,josephine,berry,qld,lansdowne,2073,40,springvale drive,,3 73457231,2104576,7,NoRole
rec-8240-dup-0,rec-5889-org,eng,f,13,20030214,,cal lie,ansln,qld,glenwold,2040,52,phillimofe place,niana,3 83430131,3377764,2,NoRole
rec-1821-org,rec-1221-org,chi,m,39,,,belinda,jang,vic,devenish,3192,10,hutchins street,,08 03699584,4577536,0,NoRole
rec-5883-org,rec-4038-org,eng,f,33,19830830,ms,jack,macneil,nsw,sutton forest,2121,85,getting crescent,,612 64166308,4824902,5,NoRole
rec-2374-org,rec-5994-org,chi,,,19370407,dr,alissa,dzeng,qld,yuleba north,2147,346,albermarle place,gundamain,3 78774177,2080642,5,NoRole
rec-8289-org,rec-6707-org,usa,f,29,19871115,,stephanie,morin,nsw,riverwood,5163,19,thurlow place,,2 67031232,5301834,0,NoRole
rec-6117-dup-0,rec-5758-org,usa,c,30,19860410,,harrisn,hudson,nsw,south weit rocks,3825,202,rodway street,,07 83363248,8211353,4,NoRole
rec-6553-org,rec-3515-org,ara,m,31,19851130,,madison,shariqah,wa,north plantations,5301,3,mansfield place,,08 95249774,1902529,5,NoRole
rec-1016-dup-0,rec-2937-org,chi,f,28,19861211,,emiil,dae,nsw,red rock,4037,12,menzieo place,,04 35368969,5763026,6,NoRole
rec-5159-org,rec-3513-org,ara,f,,19540512,,jasmine,afreen,act,theodore,4509,10,macdonnell street,firthdene,02 24218353,1297760,5,NoRole
rec-990-org,rec-2322-org,usa,f,24,19920729,,tyron,rhodes,qld,kirkwood,2155,66,sherwood circuit,,3 45229910,9272233,6,NoRole
rec-8290-org,rec-551-org,eng,f,29,19870409,,olivia,winfield,vic,nunawading bc,2570,131,cazaly close,roseglen,8 58586062,1826471,7,NoRole
rec-8295-org,rec-5750-org,eng,,25,19910518,mr,amy,sanderson,nsw,frederickton,0830,5,orchard place,,02 59567741,2494931,5,NoRole
rec-7719-org,rec-6382-org,eng,,13,20031129,ms,david,abraham,,maribyrnong,4306,216,arthaldo court,,03 03758506,5217892,8,NoRole
rec-4784-org,rec-6432-org,eng,f,29,19870803,,abbey,rupertson,,ermington,3137,6,mccarten place,paraquilia,04 57051888,5465314,4,NoRole
rec-909-dup-0,rec-3870-org,eng,c,,,,jamiw,scrivenor,nsw,hurlstone park,2574,8,kenyon circuit,,612 40018718,8341736,6,NoRole
rec-3333-org,rec-714-org,jew,,32,19840517,,ned,halevy,wa,dunn rock,,14,crozier circuit,rowethorpe,08 87121853,9556958,2,NoRole
rec-3464-org,rec-8423-org,usa,f,22,19940319,,bethanie,shaffer,nsw,duri,2195,53,norton road,mafeking,02 34381241,5071266,1,NoRole
rec-7798-org,rec-3476-org,usa,f,31,19850716,ms,aidan,carey,vic,springvale,3806,24,yamba place,willandra,8 17056730,5169769,5,NoRole
rec-3467-org,rec-8439-org,dan,f,24,19920526,,georgia,wieghorst,vic,dingley village,2750,61,bingham circuit,village walk (cnr high s street,8 15227138,4419205,2,NoRole
rec-122-org,rec-1604-org,ind,,8,20080218,,charlie,nabendu,qld,marlborough,2153,14,wylie street,,3 69896859,6601434,8,NoRole
rec-3845-dup-0,rec-532-org,eng,,33,,ms,kynan,,,manunda,4216,2,pigdon tlace,,617 77938929,6386181,4,NoRole
rec-1291-org,rec-8226-org,fre,,29,19870702,,zachary,charriol,nsw,paterson,3134,491,oliver street,amberu,2 47530069,2196798,5,NoRole
rec-2078-org,rec-4737-org,unk,f,28,19881104,,anita,strazzari,vic,boisdale,2125,13,o'connor circuit,,08 40477831,4484072,0,NoRole
rec-7764-dup-0,rec-3134-org,ind,m,31,19850327,mr,dylan,,nsw,canonba,3222,49,crozier ircuit,,04 77158717,1628134,5,NoRole
rec-2545-org,rec-408-org,jap,f,33,19830704,,jake,,nsw,macquarie links,2190,15,morehead street,sabrelyn park,,3270603,7,NoRole
rec-6602-org,rec-4992-org,wel,f,38,19780621,,brooke,gwenlan,nsw,adjungbilly,3182,6,jefferis street,canberra centre,02 04507171,8355607,5,NoRole
rec-778-org,rec-8956-org,eng,f,25,19910117,,cameron,pierson,sa,venus bay,4680,9,neales street,retirement village,,1255048,4,NoRole
rec-6372-org,rec-2749-org,usa,f,24,19921120,,alexandra,gardner,tas,riverside,4810,28,wynter place,the willows,,3085272,1,NoRole
rec-857-dup-0,rec-4493-org,chi,f,24,19921106,,haykey,xiao,a,manningham,2806,598,outtrim avenue,,617 21286970,6407511,4,NoRole
rec-7931-org,rec-8829-org,ind,f,25,19910111,,sophie,visvayu,sa,gepps cross,2103,11,moorhouse street,,617 84612150,2199206,3,NoRole
rec-5840-org,rec-6476-org,eng,,32,19840921,mr,jared,mcniel,sa,warrachie,6147,13,carslaw street,,08 68142669,3525187,9,NoRole
rec-8728-org,rec-8678-org,eng,f,42,19741222,,erin,shelby,nsw,seaham,2217,300,inlander crescent,,02 42771216,7574445,6,NoRole
rec-226-dup-0,rec-4278-org,jew,f,,19840806,,olie,danielovitch,nsw,edinburgh,2137,11,joynermplace,,07 54183735,5265428,1,NoRole
rec-3678-org,rec-318-org,fre,m,29,19870127,,james,arron,,birkdale,3226,34,hyndes crescent,,03 19349242,6263875,7,NoRole
rec-3742-org,rec-4072-org,,m,,19070918,,jordan,ronan,vic,macedon,2630,72,eggleston crescent,cnjla mntn,618 97804439,2081570,5,NoRole
rec-5568-org,rec-6773-org,,f,31,19850811,mr,logan,longhurst,nsw,black mountain,6157,27,moncrieff street,,2 95101520,2906072,7,NoRole
rec-7130-dup-0,rec-5319-org,usa,f,22,19491008,mr,hadrian,leon,nsa,cranbourne north,4506,31,burhop vlose,,2 62852138,3386445,8,NoRole
rec-4323-org,rec-8994-org,chi,f,,,ms,,myou,nsw,keiraville,3053,18,captain cook crescent,,612 09856492,1318103,4,NoRole
rec-4286-org,rec-5610-org,unk,f,,19040528,,amy,strawbridge,,ballarat,4035,56,julia flynn avenue,,07 49695493,6791225,0,NoRole
rec-983-org,rec-2092-org,pol,m,31,19850216,,steven,drzazgowski,nsw,normanhurst,4053,5,joyner place,,2 49637190,4055468,8,NoRole
rec-8089-dup-0,rec-5390-org,ser,f,,19030515,ms,annabel,aremovic,vic,barnawwrtha,3152,111,jarvis place,,618 69777203,1639833,0,NoRole
rec-2763-org,rec-3554-org,abo,f,,19911129,,callum,worosun,vic,st andrews beach,3805,43,shakespeare crescent,,8 30808475,1591336,5,NoRole
rec-3700-org,rec-662-org,ind,,30,19861223,ms,liam,shailendra,,camp mountain,2489,12,fenwick place,moy,04 63697209,2106361,1,NoRole
rec-2440-org,rec-4605-org,usa,f,26,,,harrison,cross,nsw,regentville,3184,141,hilder street,,02 28765907,8585084,3,NoRole
rec-2483-org,rec-8201-org,swe,m,,19580704,,michael,valquist,qld,ironbark,2790,3,halifax close,,3 93263248,9800293,5,NoRole
