rec_id,rec2_id,culture,sex,age,date_of_birth,title,given_name,surname,state,suburb,postcode,street_number,address_1,address_2,phone_number,soc_sec_id,blocking_number,family_role
rec-2608-dup-0,rec-2775-org,ara,d,25,19910026,ms,brodee,mansurah,,lismofe,3079,4,northbourre avenue,,03 94983306,4377294,1,NoRole
rec-272-org,rec-3688-org,eng,f,31,19850604,,matisse,lusk,vic,beaufort,4120,11,taylor street,,8 43837492,7916207,1,NoRole
rec-1761-org,rec-851-org,pol,f,8,20080119,,jayden,bujak,sa,biggs flat,6147,52,wheeler crescent,,7 26579300,3749410,2,NoRole
rec-843-dup-0,rec-441-org,chi,c,63,19800305,,conner,tsou,sa,clayon,2259,,wilkie place,,07 68500322,8981272,4,NoRole
rec-571-org,rec-835-org,usa,f,21,19950307,mr,joshua,conley,nsw,glenning valley,2220,33,upton street,,02 69616396,3392086,3,NoRole
rec-1538-dup-0,rec-3351-org,chi,,,19861123,,dillon,sztu,qld,st kilda,2784,7,musgrave street,,07 53771058,9562389,7,NoRole
rec-3769-org,rec-711-org,ina,f,33,19830522,ms,kylee,tjandra,vic,meredith,3150,5,hinkler street,alpine vineyards,618 02370289,6898745,7,NoRole
rec-3285-org,rec-1380-org,ind,f,,19801214,,isabella,kaknani,qld,ross river,6062,,kellway street,yellow dam,613 92347961,8616241,9,NoRole
rec-544-org,rec-3646-org,ser,f,24,19920326,,ebony,batez,wa,howick,5244,6,wallace place,girrahween homestead,08 81882036,3891666,2,NoRole
rec-3749-org,rec-1071-org,eng,f,29,19870216,ms,logan,,,parkerville,2207,9,chauvel street,,08 78806127,8660916,1,NoRole
rec-559-org,rec-1795-org,eng,m,9,20070824,ms,brooke,moors,nsw,bungendore,2042,206,yelland place,hd curramulka,,3510772,2,NoRole
rec-1984-org,rec-403-org,eng,f,34,19820603,ms,delaney,royston,qld,crediton,4077,86,northbourne flats,sec 375,613 24278102,7030611,6,NoRole
rec-1097-dup-0,rec-3266-org,unk,,37,,,charlotte,,vif,dovrton,6196,15,arabanoo crscent,,618 53876671,8477258,0,NoRole
rec-772-org,rec-507-org,ira,f,34,19820409,,sarah,kia,act,downer,4865,15,,villa 184,612 28130938,2344090,5,NoRole
rec-1036-org,rec-496-org,fin,f,28,19880410,,jacob,sallinen,nsw,durras north,2122,8,thornton place,parklands estate,612 98020578,3933499,9,NoRole
rec-3296-dup-0,rec-2303-org,usa,,34,19830522,,renai,kennegy,qld,thinoomba,3579,27,marston place,,613 10536793,4277781,3,NoRole
rec-586-org,rec-223-org,usa,,29,19870715,ms,riley,weeks,qld,university of queensland,4650,,cockerill place,,03 84249990,8978430,3,NoRole
rec-3883-org,rec-3864-org,usa,,31,19850531,mr,ned,ortega,sa,burnside,2099,11,weir place,,02 88530957,1593728,0,NoRole
rec-3258-org,rec-2647-org,usa,f,35,19810528,ms,blake,whitney,nsw,east ryde,3412,422,newdegate street,,04 68666972,1373156,3,NoRole
rec-2762-org,rec-3540-org,ind,f,22,19940429,dr,isabella,cheema,wa,scott river,7018,40,lowanna street,,618 91531509,8049862,7,NoRole
rec-760-dup-0,rec-3269-org,eng,l,33,19830119,,isablele,bourke,vic,dixons creek,2086,10,crescent haystack,little shalford,618 87795652,8975771,0,NoRole
rec-929-org,rec-1629-org,unk,f,27,19891018,ms,tiarna,,,st peters,4350,51,ragless circuit,,03 82825684,8709935,5,NoRole
rec-2241-org,rec-2696-org,usa,f,30,19861027,ms,jacob,trujillo,wa,piccadilly,4101,139,rowntree crescent,billilla,8 39012980,6792619,1,NoRole
rec-151-dup-0,rec-3857-org,afg,,37,19709406,hon,jade,s ayed,,snowtown,3500,100,darley pkace,,07 86419005,8658012,1,NoRole
rec-3255-org,rec-712-org,eng,f,8,,,joshua,becket,vic,beaufort,6330,121,teague street,,618 85639393,8339253,8,NoRole
rec-2017-org,rec-956-org,eng,f,20,19960201,ms,joshua,huxtable,qld,eromanga,2540,1,wagga street,kendor,03 72449294,8423929,6,NoRole
rec-2029-org,rec-190-org,chi,,29,19871030,rev,kiarnee,fung,tas,stoodley,2430,857,chaffey crescent,,07 89472379,2068018,6,NoRole
